DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
6,4,3,3,0.13,0.132,0.147,0.132,0.085,0.14,0.128
6,4,3,4,0.132,0.147,0.132,0.085,0.14,0.128,0.088
6,4,3,5,0.147,0.132,0.085,0.14,0.128,0.088,0.139
6,4,3,6,0.132,0.085,0.14,0.128,0.088,0.139,0.116
7,1,3,1,0.085,0.14,0.128,0.088,0.139,0.116,0.074
7,1,4,2,0.14,0.128,0.088,0.139,0.116,0.074,0.088
7,1,4,3,0.128,0.088,0.139,0.116,0.074,0.088,0.124
7,1,2,4,0.088,0.139,0.116,0.074,0.088,0.124,0.095
7,1,4,5,0.139,0.116,0.074,0.088,0.124,0.095,0.122
7,1,3,6,0.116,0.074,0.088,0.124,0.095,0.122,0.132
7,2,3,1,0.074,0.088,0.124,0.095,0.122,0.132,0.092
7,2,3,2,0.088,0.124,0.095,0.122,0.132,0.092,0.113
7,2,4,3,0.124,0.095,0.122,0.132,0.092,0.113,0.138
7,2,2,4,0.095,0.122,0.132,0.092,0.113,0.138,0.078
7,2,4,5,0.122,0.132,0.092,0.113,0.138,0.078,0.128
7,2,3,6,0.132,0.092,0.113,0.138,0.078,0.128,0.161
7,3,3,1,0.092,0.113,0.138,0.078,0.128,0.161,0.103
7,3,3,2,0.113,0.138,0.078,0.128,0.161,0.103,0.175
7,3,4,3,0.138,0.078,0.128,0.161,0.103,0.175,0.148
7,3,4,4,0.078,0.128,0.161,0.103,0.175,0.148,0.09
7,3,3,5,0.128,0.161,0.103,0.175,0.148,0.09,0.14
7,3,3,6,0.161,0.103,0.175,0.148,0.09,0.14,0.11
7,4,3,1,0.103,0.175,0.148,0.09,0.14,0.11,0.1
7,4,4,2,0.175,0.148,0.09,0.14,0.11,0.1,0.127
7,4,3,3,0.148,0.09,0.14,0.11,0.1,0.127,0.114
7,4,4,4,0.09,0.14,0.11,0.1,0.127,0.114,0.102
7,4,3,5,0.14,0.11,0.1,0.127,0.114,0.102,0.114
7,4,3,6,0.11,0.1,0.127,0.114,0.102,0.114,0.127
1,1,4,1,0.1,0.127,0.114,0.102,0.114,0.127,0.099
1,1,3,2,0.127,0.114,0.102,0.114,0.127,0.099,0.122
1,1,3,3,0.114,0.102,0.114,0.127,0.099,0.122,0.131
1,1,3,4,0.102,0.114,0.127,0.099,0.122,0.131,0.082
1,1,4,5,0.114,0.127,0.099,0.122,0.131,0.082,0.144
1,1,3,6,0.127,0.099,0.122,0.131,0.082,0.144,0.117
1,2,3,1,0.099,0.122,0.131,0.082,0.144,0.117,0.091
1,2,3,2,0.122,0.131,0.082,0.144,0.117,0.091,0.137
1,2,3,3,0.131,0.082,0.144,0.117,0.091,0.137,0.1
1,2,3,4,0.082,0.144,0.117,0.091,0.137,0.1,0.108
1,2,4,5,0.144,0.117,0.091,0.137,0.1,0.108,0.13
1,2,4,6,0.117,0.091,0.137,0.1,0.108,0.13,0.12
