KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
0.117,0.083,0.121,0.133,0.097,0.115,0.135
0.083,0.121,0.133,0.097,0.115,0.135,0.106
0.121,0.133,0.097,0.115,0.135,0.106,1.044
0.133,0.097,0.115,0.135,0.106,1.044,0.592
0.097,0.115,0.135,0.106,1.044,0.592,0.112
0.115,0.135,0.106,1.044,0.592,0.112,0.123
0.135,0.106,1.044,0.592,0.112,0.123,0.103
0.106,1.044,0.592,0.112,0.123,0.103,0.128
1.044,0.592,0.112,0.123,0.103,0.128,0.122
0.592,0.112,0.123,0.103,0.128,0.122,0.12
0.112,0.123,0.103,0.128,0.122,0.12,0.13
0.123,0.103,0.128,0.122,0.12,0.13,0.135
